2026-03-21 08:09:18,511 | INFO | Starting Polymarket Engine (Async v2 + CLOB + OI Guard)...
2026-03-21 08:09:18,516 | INFO | === FETCHING MARKETS ===
2026-03-21 08:09:18,949 | INFO | Markets received: 18
2026-03-21 08:09:19,042 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 0, Blocked(Spread) 0 ===
2026-03-21 08:09:24,047 | INFO | === FETCHING MARKETS ===
2026-03-21 08:09:24,374 | INFO | Markets received: 18
2026-03-21 08:09:24,661 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:09:29,666 | INFO | === FETCHING MARKETS ===
2026-03-21 08:09:30,107 | INFO | Markets received: 18
2026-03-21 08:09:30,197 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:09:35,202 | INFO | === FETCHING MARKETS ===
2026-03-21 08:09:35,723 | INFO | Markets received: 18
2026-03-21 08:09:35,806 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:09:40,811 | INFO | === FETCHING MARKETS ===
2026-03-21 08:09:41,060 | INFO | Markets received: 18
2026-03-21 08:09:41,150 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:09:46,156 | INFO | === FETCHING MARKETS ===
2026-03-21 08:09:46,376 | INFO | Markets received: 18
2026-03-21 08:09:46,468 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 12, Blocked(Spread) 0 ===
2026-03-21 08:09:51,474 | INFO | === FETCHING MARKETS ===
2026-03-21 08:09:52,011 | INFO | Markets received: 18
2026-03-21 08:09:52,102 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 12, Blocked(Spread) 0 ===
2026-03-21 08:09:57,108 | INFO | === FETCHING MARKETS ===
2026-03-21 08:09:57,313 | INFO | Markets received: 18
2026-03-21 08:09:57,393 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:10:02,399 | INFO | === FETCHING MARKETS ===
2026-03-21 08:10:02,887 | INFO | Markets received: 18
2026-03-21 08:10:03,207 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 10, Blocked(Spread) 0 ===
2026-03-21 08:10:08,212 | INFO | === FETCHING MARKETS ===
2026-03-21 08:10:08,429 | INFO | Markets received: 18
2026-03-21 08:10:08,519 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:10:13,524 | INFO | === FETCHING MARKETS ===
2026-03-21 08:10:13,811 | INFO | Markets received: 18
2026-03-21 08:10:13,900 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:10:18,903 | INFO | === FETCHING MARKETS ===
2026-03-21 08:10:19,106 | INFO | Markets received: 18
2026-03-21 08:10:19,187 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:10:24,192 | INFO | === FETCHING MARKETS ===
2026-03-21 08:10:24,393 | INFO | Markets received: 18
2026-03-21 08:10:24,481 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:10:29,486 | INFO | === FETCHING MARKETS ===
2026-03-21 08:10:29,692 | INFO | Markets received: 18
2026-03-21 08:10:30,115 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:10:35,120 | INFO | === FETCHING MARKETS ===
2026-03-21 08:10:35,586 | INFO | Markets received: 18
2026-03-21 08:10:35,667 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:10:40,673 | INFO | === FETCHING MARKETS ===
2026-03-21 08:10:40,903 | INFO | Markets received: 18
2026-03-21 08:10:40,989 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:10:45,994 | INFO | === FETCHING MARKETS ===
2026-03-21 08:10:46,381 | INFO | Markets received: 18
2026-03-21 08:10:46,463 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:10:51,468 | INFO | === FETCHING MARKETS ===
2026-03-21 08:10:51,698 | INFO | Markets received: 18
2026-03-21 08:10:51,780 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:10:56,786 | INFO | === FETCHING MARKETS ===
2026-03-21 08:10:57,184 | INFO | Markets received: 18
2026-03-21 08:10:57,276 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 13, Blocked(Spread) 0 ===
2026-03-21 08:11:02,281 | INFO | === FETCHING MARKETS ===
2026-03-21 08:11:02,502 | INFO | Markets received: 18
2026-03-21 08:11:02,805 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:11:07,806 | INFO | === FETCHING MARKETS ===
2026-03-21 08:11:08,159 | INFO | Markets received: 18
2026-03-21 08:11:08,457 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:11:13,463 | INFO | === FETCHING MARKETS ===
2026-03-21 08:11:13,663 | INFO | Markets received: 18
2026-03-21 08:11:13,884 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:11:18,890 | INFO | === FETCHING MARKETS ===
2026-03-21 08:11:19,351 | INFO | Markets received: 18
2026-03-21 08:11:19,722 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:11:24,728 | INFO | === FETCHING MARKETS ===
2026-03-21 08:11:25,107 | INFO | Markets received: 18
2026-03-21 08:11:25,193 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 13, Blocked(Spread) 0 ===
2026-03-21 08:11:30,198 | INFO | === FETCHING MARKETS ===
2026-03-21 08:11:30,463 | INFO | Markets received: 18
2026-03-21 08:11:30,553 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 13, Blocked(Spread) 0 ===
2026-03-21 08:11:35,559 | INFO | === FETCHING MARKETS ===
2026-03-21 08:11:35,760 | INFO | Markets received: 18
2026-03-21 08:11:35,842 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:11:40,848 | INFO | === FETCHING MARKETS ===
2026-03-21 08:11:41,102 | INFO | Markets received: 18
2026-03-21 08:11:41,196 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:11:46,201 | INFO | === FETCHING MARKETS ===
2026-03-21 08:11:46,468 | INFO | Markets received: 18
2026-03-21 08:11:46,708 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 13, Blocked(Spread) 0 ===
2026-03-21 08:11:51,714 | INFO | === FETCHING MARKETS ===
2026-03-21 08:11:52,081 | INFO | Markets received: 18
2026-03-21 08:11:52,484 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 13, Blocked(Spread) 0 ===
2026-03-21 08:11:57,490 | INFO | === FETCHING MARKETS ===
2026-03-21 08:11:57,705 | INFO | Markets received: 18
2026-03-21 08:11:57,791 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:12:02,797 | INFO | === FETCHING MARKETS ===
2026-03-21 08:12:03,017 | INFO | Markets received: 18
2026-03-21 08:12:03,105 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:12:08,111 | INFO | === FETCHING MARKETS ===
2026-03-21 08:12:08,328 | INFO | Markets received: 18
2026-03-21 08:12:08,415 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:12:13,420 | INFO | === FETCHING MARKETS ===
2026-03-21 08:12:13,627 | INFO | Markets received: 18
2026-03-21 08:12:13,718 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 13, Blocked(Spread) 0 ===
2026-03-21 08:12:18,723 | INFO | === FETCHING MARKETS ===
2026-03-21 08:12:18,932 | INFO | Markets received: 18
2026-03-21 08:12:19,026 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 13, Blocked(Spread) 0 ===
2026-03-21 08:12:24,031 | INFO | === FETCHING MARKETS ===
2026-03-21 08:12:24,389 | INFO | Markets received: 18
2026-03-21 08:12:24,475 | INFO | === CYCLE SUMMARY: Processed 0, Skipped 14, Blocked(Spread) 0 ===
2026-03-21 08:12:29,480 | INFO | === FETCHING MARKETS ===
2026-03-21 08:12:29,696 | INFO | Markets received: 18
